Areaname,Land Area
Madison_Florida_UnitedStates,695.95
Manatee_Florida_UnitedStates,742.93
Marion_Florida_UnitedStates,1584.55
Martin_Florida_UnitedStates,543.46
Miami-Dade_Florida_UnitedStates,1897.72
Monroe_Florida_UnitedStates,983.28
Nassau_Florida_UnitedStates,648.64
Okaloosa_Florida_UnitedStates,930.25
Okeechobee_Florida_UnitedStates,768.91
Orange_Florida_UnitedStates,903.43
Osceola_Florida_UnitedStates,1327.45
Palm Beach_Florida_UnitedStates,1969.76
Pasco_Florida_UnitedStates,746.89
Pinellas_Florida_UnitedStates,273.8
Polk_Florida_UnitedStates,1797.84
Putnam_Florida_UnitedStates,727.62
St. Johns_Florida_UnitedStates,600.66
St. Lucie_Florida_UnitedStates,571.93
Santa Rosa_Florida_UnitedStates,1011.61
Sarasota_Florida_UnitedStates,555.87
Seminole_Florida_UnitedStates,309.22
Sumter_Florida_UnitedStates,546.93
Suwannee_Florida_UnitedStates,688.55
Taylor_Florida_UnitedStates,1043.31
Union_Florida_UnitedStates,243.56
Volusia_Florida_UnitedStates,1101.03
Wakulla_Florida_UnitedStates,606.42
Walton_Florida_UnitedStates,1037.63
Washington_Florida_UnitedStates,582.8
Appling_Georgia_UnitedStates,507.08
Atkinson_Georgia_UnitedStates,339.38
Bacon_Georgia_UnitedStates,258.58
Baker_Georgia_UnitedStates,341.94
Baldwin_Georgia_UnitedStates,257.84
Banks_Georgia_UnitedStates,232.09
Barrow_Georgia_UnitedStates,160.31
Bartow_Georgia_UnitedStates,459.54
Ben Hill_Georgia_UnitedStates,250.12
Berrien_Georgia_UnitedStates,451.9
Bibb_Georgia_UnitedStates,249.76
Bleckley_Georgia_UnitedStates,215.87
Brantley_Georgia_UnitedStates,442.36
Brooks_Georgia_UnitedStates,493.05
Bryan_Georgia_UnitedStates,435.97
Bulloch_Georgia_UnitedStates,672.81
Burke_Georgia_UnitedStates,826.97
Butts_Georgia_UnitedStates,184.39
Calhoun_Georgia_UnitedStates,280.37
Camden_Georgia_UnitedStates,613.03
Candler_Georgia_UnitedStates,243.04
Carroll_Georgia_UnitedStates,499.08
Catoosa_Georgia_UnitedStates,162.16
Charlton_Georgia_UnitedStates,773.58
Chatham_Georgia_UnitedStates,426.44
Chattahoochee_Georgia_UnitedStates,248.74
Chattooga_Georgia_UnitedStates,313.34
Cherokee_Georgia_UnitedStates,421.67
Clarke_Georgia_UnitedStates,119.2
Clay_Georgia_UnitedStates,195.38
Clayton_Georgia_UnitedStates,141.57
Clinch_Georgia_UnitedStates,800.22
Cobb_Georgia_UnitedStates,339.55
Coffee_Georgia_UnitedStates,575.1
Colquitt_Georgia_UnitedStates,544.15
Columbia_Georgia_UnitedStates,290.09
Cook_Georgia_UnitedStates,227.16
Coweta_Georgia_UnitedStates,440.89
Crawford_Georgia_UnitedStates,324.89
Crisp_Georgia_UnitedStates,272.58
Dade_Georgia_UnitedStates,173.98
Dawson_Georgia_UnitedStates,210.83
Decatur_Georgia_UnitedStates,597.14
DeKalb_Georgia_UnitedStates,267.58
Dodge_Georgia_UnitedStates,495.89
Dooly_Georgia_UnitedStates,391.94
